,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
51,62.400002,65.230003,61.990002,65.110001,6157300,63.474098,130.34000,12/26/18,TGT,0.057839027,0.057839189,0.40634292,D
52,64.370003,64.889999,62.16,64.709999,5706000,63.084152,129.60000,12/27/18,TGT,-0.006143388,-0.00614348,0.250205966,D
53,65.18,65.879997,64.43,64.959999,4193200,63.327869,130.84000,12/28/18,TGT,0.003863363,0.003863391,0.446198518,D
54,65.330002,66.18,65.220001,66.089996,4178500,64.429474,132.27000,12/31/18,TGT,0.017395264,0.017395274,1.074304705,D
55,65.059998,66.849998,64.760002,66.440002,4549300,64.770699,133.29000,1/2/19,TGT,0.005296101,0.0052959,0.938730487,D
56,66.129997,66.629997,65.410004,65.529999,4562200,63.883556,132.16000,1/3/19,TGT,-0.013696672,-0.013696613,1.393687997,D
57,66.239998,66.879997,65.449997,66.43,4825900,64.760941,133.31000,1/4/19,TGT,0.013734129,0.013734183,0.540226832,D
58,66.809998,69.879997,66.809998,69.68,7630600,67.929283,139.56000,1/7/19,TGT,0.048923656,0.048923679,-0.020144756,E
59,70.18,70.480003,68.309998,69.610001,6756000,67.861038,140.09000,1/8/19,TGT,-0.001004648,-0.001004578,-0.222133914,E
60,69.379997,70.980003,68.779999,70.290001,6025100,68.523956,141.27000,1/9/19,TGT,0.009768757,0.009768711,-0.602480017,D
61,67.949997,68.330002,66.529999,68.290001,13913700,66.574203,136.62000,1/10/19,TGT,-0.028453597,-0.028453549,-0.128355603,E
62,68.300003,70.040001,68.059998,69.610001,5025900,67.861038,139.65000,1/11/19,TGT,0.019329334,0.019329331,-0.069791207,E
63,69.150002,69.849998,68.629997,68.839996,4568000,67.110382,138.68999,1/14/19,TGT,-0.011061664,-0.011061701,0.533411805,D
64,68.760002,68.760002,67.800003,68.209999,3770000,66.496216,136.97000,1/15/19,TGT,-0.00915158,-0.009151613,0.597592311,D
65,68.059998,68.629997,67.599998,67.849998,4888700,66.145264,136.48000,1/16/19,TGT,-0.005277774,-0.005277833,0.708752367,D
66,67.510002,69.660004,67.169998,69.370003,4133200,67.627075,139.03001,1/17/19,TGT,0.022402375,0.022402432,0.353014288,D
67,69.970001,70.879997,69.830002,70.68,4484100,68.90416,141.56000,1/18/19,TGT,0.018884226,0.0188842,0.482668794,D
68,70.379997,71.040001,69.660004,70.279999,5763900,68.514206,141.32000,1/22/19,TGT,-0.005659368,-0.005659324,0.517261888,D
69,70.839996,71.449997,69.330002,70.32,4446600,68.553207,141.77000,1/23/19,TGT,0.00056924,0.000569166,0.386402251,D
70,70.550003,70.900002,69.82,70.610001,4057000,68.835922,141.51000,1/24/19,TGT,0.004124023,0.004124019,0.47890881,D
71,71.050003,72.440002,70.940002,72.389999,5544200,70.571198,144.83000,1/25/19,TGT,0.025208873,0.025208865,0.168722962,D
72,72.019997,72.220001,71.209999,72.120003,3511100,70.307976,144.34000,1/28/19,TGT,-0.003729879,-0.003729742,-0.263655917,E
73,72.120003,72.190002,71.300003,71.699997,3320600,69.898529,143.89000,1/29/19,TGT,-0.005823621,-0.00582371,0.205192159,D
74,72.300003,72.650002,71.309998,72.330002,3789300,70.512695,144.98000,1/30/19,TGT,0.008786537,0.008786681,0.121643029,D
75,72.309998,73.07,72.07,73,6699400,71.165863,146.07000,1/31/19,TGT,0.009263126,0.009263072,-0.135399707,E
76,73.099998,73.099998,70.459999,71.169998,5916200,69.381836,144.27000,2/1/19,TGT,-0.025068578,-0.025068521,0.191269023,D
77,71.209999,72.559998,70.809998,72.440002,3622300,70.619949,145.00000,2/4/19,TGT,0.017844915,0.017844654,-0.432781725,E
78,72.709999,73.050003,72.25,72.769997,3526200,70.941643,145.82000,2/5/19,TGT,0.004555285,0.004555425,-0.731494823,D
79,72.629997,72.739998,71.870003,72.510002,3399300,70.688179,145.25000,2/6/19,TGT,-0.003572852,-0.003572832,-0.590202064,D
80,72.040001,72.540001,71.480003,71.860001,3711600,70.054512,144.40000,2/7/19,TGT,-0.008964257,-0.008964294,0.199510774,D
81,71.699997,72.18,70.739998,70.879997,4146200,69.099129,143.06000,2/8/19,TGT,-0.013637708,-0.013637684,0.364974589,D
82,70.779999,70.790001,69.07,70.150002,6661000,68.387482,140.94000,2/11/19,TGT,-0.010298929,-0.010299027,0.751080269,D
83,70.699997,71.18,70.260002,70.410004,4505500,68.640945,141.59000,2/12/19,TGT,0.003706278,0.003706372,0.799889005,D
84,70.610001,72.760002,69.970001,72.57,7186900,70.746674,145.33000,2/13/19,TGT,0.030677448,0.030677402,0.038503576,E
85,71.730003,72.989998,71.110001,72.18,4624800,70.366463,145.17000,2/14/19,TGT,-0.00537426,-0.005374122,-0.041315761,E
86,72.559998,73.379997,72.220001,72.839996,3835800,71.009888,146.21999,2/15/19,TGT,0.009143916,0.009143752,-0.162475148,E
87,72.93,73.709999,72.019997,73.300003,6868000,72.091759,147.01000,2/19/19,TGT,0.015235498,0.006315308,-0.055038664,E
